,GEO.id,county,asian,geoid,asian0,asian1,asian2,asian3,asian4,asian5
0,0500000US17001,"Adams County, Illinois",27,17001,4,4,4,4,4,4
1,0500000US17003,"Alexander County, Illinois",1,17003,0,0,0,0,0,0
2,0500000US17005,"Bond County, Illinois",0,17005,0,0,0,0,0,0
3,0500000US17007,"Boone County, Illinois",69,17007,10,11,10,11,11,12
4,0500000US17009,"Brown County, Illinois",0,17009,0,0,0,0,0,0
5,0500000US17011,"Bureau County, Illinois",13,17011,2,2,2,2,2,2
6,0500000US17013,"Calhoun County, Illinois",0,17013,0,0,0,0,0,0
7,0500000US17015,"Carroll County, Illinois",12,17015,1,2,1,2,1,2
8,0500000US17017,"Cass County, Illinois",0,17017,0,0,0,0,0,0
9,0500000US17019,"Champaign County, Illinois",939,17019,164,161,157,155,149,149
10,0500000US17021,"Christian County, Illinois",48,17021,7,8,8,8,7,8
11,0500000US17023,"Clark County, Illinois",7,17023,1,1,1,1,1,1
12,0500000US17025,"Clay County, Illinois",0,17025,0,0,0,0,0,0
13,0500000US17027,"Clinton County, Illinois",5,17027,0,0,0,0,0,0
14,0500000US17029,"Coles County, Illinois",10,17029,1,1,1,1,1,1
15,0500000US17031,"Cook County, Illinois",20688,17031,4523,4071,2740,2742,2489,4121
16,0500000US17033,"Crawford County, Illinois",0,17033,0,0,0,0,0,0
17,0500000US17035,"Cumberland County, Illinois",0,17035,0,0,0,0,0,0
18,0500000US17037,"DeKalb County, Illinois",93,17037,15,15,14,15,16,16
19,0500000US17039,"De Witt County, Illinois",0,17039,0,0,0,0,0,0
20,0500000US17041,"Douglas County, Illinois",0,17041,0,0,0,0,0,0
21,0500000US17043,"DuPage County, Illinois",6310,17043,1044,1007,1000,1065,1068,1125
22,0500000US17045,"Edgar County, Illinois",0,17045,0,0,0,0,0,0
23,0500000US17047,"Edwards County, Illinois",0,17047,0,0,0,0,0,0
24,0500000US17049,"Effingham County, Illinois",12,17049,1,1,1,2,2,2
25,0500000US17051,"Fayette County, Illinois",0,17051,0,0,0,0,0,0
26,0500000US17053,"Ford County, Illinois",0,17053,0,0,0,0,0,0
27,0500000US17055,"Franklin County, Illinois",0,17055,0,0,0,0,0,0
28,0500000US17057,"Fulton County, Illinois",4,17057,0,0,0,0,0,0
29,0500000US17059,"Gallatin County, Illinois",0,17059,0,0,0,0,0,0
30,0500000US17061,"Greene County, Illinois",0,17061,0,0,0,0,0,0
31,0500000US17063,"Grundy County, Illinois",5,17063,0,0,0,0,0,0
32,0500000US17065,"Hamilton County, Illinois",0,17065,0,0,0,0,0,0
33,0500000US17067,"Hancock County, Illinois",0,17067,0,0,0,0,0,0
34,0500000US17069,"Hardin County, Illinois",0,17069,0,0,0,0,0,0
35,0500000US17071,"Henderson County, Illinois",7,17071,1,1,1,0,1,1
36,0500000US17073,"Henry County, Illinois",0,17073,0,0,0,0,0,0
37,0500000US17075,"Iroquois County, Illinois",29,17075,4,4,4,5,5,5
38,0500000US17077,"Jackson County, Illinois",28,17077,5,4,4,4,4,4
39,0500000US17079,"Jasper County, Illinois",5,17079,0,0,0,0,0,0
40,0500000US17081,"Jefferson County, Illinois",43,17081,6,6,7,7,7,7
41,0500000US17083,"Jersey County, Illinois",14,17083,2,2,2,2,2,2
42,0500000US17085,"Jo Daviess County, Illinois",10,17085,1,1,1,1,1,1
43,0500000US17087,"Johnson County, Illinois",0,17087,0,0,0,0,0,0
44,0500000US17089,"Kane County, Illinois",1254,17089,204,212,197,202,201,236
45,0500000US17091,"Kankakee County, Illinois",54,17091,8,8,8,9,9,9
46,0500000US17093,"Kendall County, Illinois",327,17093,49,50,53,54,56,62
47,0500000US17095,"Knox County, Illinois",34,17095,6,5,5,5,5,5
48,0500000US17097,"Lake County, Illinois",2945,17097,475,471,476,476,474,569
49,0500000US17099,"LaSalle County, Illinois",31,17099,4,4,5,5,5,5
50,0500000US17101,"Lawrence County, Illinois",0,17101,0,0,0,0,0,0
51,0500000US17103,"Lee County, Illinois",11,17103,1,1,1,1,1,1
52,0500000US17105,"Livingston County, Illinois",13,17105,2,2,2,2,2,2
53,0500000US17107,"Logan County, Illinois",25,17107,4,4,4,3,4,4
54,0500000US17109,"McDonough County, Illinois",45,17109,6,7,7,7,7,7
55,0500000US17111,"McHenry County, Illinois",356,17111,57,55,56,59,59,67
56,0500000US17113,"McLean County, Illinois",859,17113,142,143,148,142,146,135
57,0500000US17115,"Macon County, Illinois",102,17115,16,16,17,16,17,17
58,0500000US17117,"Macoupin County, Illinois",0,17117,0,0,0,0,0,0
59,0500000US17119,"Madison County, Illinois",145,17119,22,24,24,25,24,24
60,0500000US17121,"Marion County, Illinois",19,17121,3,3,3,3,3,3
61,0500000US17123,"Marshall County, Illinois",0,17123,0,0,0,0,0,0
62,0500000US17125,"Mason County, Illinois",0,17125,0,0,0,0,0,0
63,0500000US17127,"Massac County, Illinois",0,17127,0,0,0,0,0,0
64,0500000US17129,"Menard County, Illinois",19,17129,2,2,2,3,3,3
65,0500000US17131,"Mercer County, Illinois",2,17131,0,0,0,0,0,0
66,0500000US17133,"Monroe County, Illinois",0,17133,0,0,0,0,0,0
67,0500000US17135,"Montgomery County, Illinois",0,17135,0,0,0,0,0,0
68,0500000US17137,"Morgan County, Illinois",0,17137,0,0,0,0,0,0
69,0500000US17139,"Moultrie County, Illinois",0,17139,0,0,0,0,0,0
70,0500000US17141,"Ogle County, Illinois",22,17141,3,3,3,3,3,3
71,0500000US17143,"Peoria County, Illinois",675,17143,111,113,118,109,110,111
72,0500000US17145,"Perry County, Illinois",0,17145,0,0,0,0,0,0
73,0500000US17147,"Piatt County, Illinois",0,17147,0,0,0,0,0,0
74,0500000US17149,"Pike County, Illinois",0,17149,0,0,0,0,0,0
75,0500000US17151,"Pope County, Illinois",4,17151,0,0,0,0,0,0
76,0500000US17153,"Pulaski County, Illinois",0,17153,0,0,0,0,0,0
77,0500000US17155,"Putnam County, Illinois",0,17155,0,0,0,0,0,0
78,0500000US17157,"Randolph County, Illinois",2,17157,0,0,0,0,0,0
79,0500000US17159,"Richland County, Illinois",0,17159,0,0,0,0,0,0
80,0500000US17161,"Rock Island County, Illinois",381,17161,61,63,62,64,63,64
81,0500000US17163,"St. Clair County, Illinois",200,17163,34,34,34,35,25,36
82,0500000US17165,"Saline County, Illinois",16,17165,2,2,2,2,2,2
83,0500000US17167,"Sangamon County, Illinois",166,17167,26,27,27,27,28,28
84,0500000US17169,"Schuyler County, Illinois",0,17169,0,0,0,0,0,0
85,0500000US17171,"Scott County, Illinois",0,17171,0,0,0,0,0,0
86,0500000US17173,"Shelby County, Illinois",0,17173,0,0,0,0,0,0
87,0500000US17175,"Stark County, Illinois",0,17175,0,0,0,0,0,0
88,0500000US17177,"Stephenson County, Illinois",8,17177,1,1,1,1,1,1
89,0500000US17179,"Tazewell County, Illinois",48,17179,7,7,8,8,8,8
90,0500000US17181,"Union County, Illinois",0,17181,0,0,0,0,0,0
91,0500000US17183,"Vermilion County, Illinois",16,17183,2,2,2,2,2,2
92,0500000US17185,"Wabash County, Illinois",0,17185,0,0,0,0,0,0
93,0500000US17187,"Warren County, Illinois",106,17187,17,19,17,17,17,16
94,0500000US17189,"Washington County, Illinois",0,17189,0,0,0,0,0,0
95,0500000US17191,"Wayne County, Illinois",0,17191,0,0,0,0,0,0
96,0500000US17193,"White County, Illinois",16,17193,2,2,2,2,2,2
97,0500000US17195,"Whiteside County, Illinois",0,17195,0,0,0,0,0,0
98,0500000US17197,"Will County, Illinois",1659,17197,292,290,299,307,307,162
99,0500000US17199,"Williamson County, Illinois",69,17199,11,11,11,11,11,11
100,0500000US17201,"Winnebago County, Illinois",417,17201,72,101,74,73,46,48
101,0500000US17203,"Woodford County, Illinois",27,17203,4,4,4,4,4,4
